transcription	board_title_pattern_match	board_title_pattern_item	board_title_pattern_result	year	page	range_definition	function_pattern_match	function_pattern_item	function_pattern_result	location_list_match	location_list_item	location_list_result	profession_pattern_match	profession_pattern_item	profession_pattern_result	personal_titles_list_match	personal_titles_list_item	personal_titles_list_result	name_list_match	name_list_item	name_list_result	name_pattern_match	name_pattern_item	name_pattern_result	name_best_match	name_best_match_type	name_best_match_strategy
OFFICERS OF THE CHAMBER	True	(Council :|Council|ADVISORY COMMITTEES|Finance Commillee.|Propaganda Commillee.|Rhine Navigation Commillee.|Committee jor French Switzerland.|Watch Industries Commillee.|MEMBERS OF THE COUNCIL|THE COUNCIL IN 1922|Officers and Members of the Board|Active Members of the Board|Corresponding Members of the Board|Hon\. Members of the Board|THE BRITISH CHAMBER OF COMMERCE FOR SWITZERLAND|THE COUNCIL IN 1923|OFFICERS OF THE CHAMBER|Council:)	OFFICERS OF THE CHAMBER	1931	14	board_member																					
Hon. President:				1931	14	board_member	True	(\(Chairman\)|\(Secretary\)|Hon\. President|Hon\. Vice-President|President|Hon\. Treasurer|Vice-President|Secretary-General, Head Office|Hon\. Secretary, Lausanne Branch|THE HON PRESIDENT|THE HON. VICE PRESIDENT)	Hon. President																		
His Britannic Majestys Minister to the Swiss Confederation, Berne.				1931	14	board_member				True	Berne.	Berne.	True	(His Britannic Majestys Minister to the Swiss Confederation|Lloyds & National Provincial Foreign Bank Ltd.|C.B., C.V. O., II. B.M., Minister|H. B. M. Commercial Secretary)	His Britannic Majestys Minister to the Swiss Confederation												
President:				1931	14	board_member	True	(\(Chairman\)|\(Secretary\)|Hon\. President|Hon\. Vice-President|President|Hon\. Treasurer|Vice-President|Secretary-General, Head Office|Hon\. Secretary, Lausanne Branch|THE HON PRESIDENT|THE HON. VICE PRESIDENT)	President																		
FALCONER EVANS CROME, Esq., Basle.				1931	14	board_member				True	Basle.	Basle.				True	Esq.	Esq.	True	FALCONER EVANS CROME	FALCONER EVANS CROME						
Vice-Presidents:				1931	14	board_member	True	(\(Chairman\)|\(Secretary\)|Hon\. President|Hon\. Vice-President|President|Hon\. Treasurer|Vice-President|Secretary-General, Head Office|Hon\. Secretary, Lausanne Branch|THE HON PRESIDENT|THE HON. VICE PRESIDENT)	Vice-President																		
MAURICE GALLAND, Esq., Lausanne.				1931	14	board_member				True	Lausanne.	Lausanne.				True	Esq.	Esq.	True	MAURICE GALLAND	MAURICE GALLAND						
ROBERT HIBBERT, Esq., Basle.				1931	14	board_member				True	Basle.	Basle.				True	Esq.	Esq.	True	ROBERT HIBBERT	ROBERT HIBBERT						
Hon. Treasurer:				1931	14	board_member	True	(\(Chairman\)|\(Secretary\)|Hon\. President|Hon\. Vice-President|President|Hon\. Treasurer|Vice-President|Secretary-General, Head Office|Hon\. Secretary, Lausanne Branch|THE HON PRESIDENT|THE HON. VICE PRESIDENT)	Hon. Treasurer																		
E. W. BRISCOE, Esq., Manager, Lloyds and National Provincial Foreign Bank, Ltd. Geneva.				1931	14	board_member				True	Geneva.	Geneva.				True	Esq.	Esq.	True	E. W. BRISCO	E. W. BRISCO	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	E. W. BRISCOE	E. W. BRISCOE	pattern	longest_match
Council :	True	(Council :|Council|ADVISORY COMMITTEES|Finance Commillee.|Propaganda Commillee.|Rhine Navigation Commillee.|Committee jor French Switzerland.|Watch Industries Commillee.|MEMBERS OF THE COUNCIL|THE COUNCIL IN 1922|Officers and Members of the Board|Active Members of the Board|Corresponding Members of the Board|Hon\. Members of the Board|THE BRITISH CHAMBER OF COMMERCE FOR SWITZERLAND|THE COUNCIL IN 1923|OFFICERS OF THE CHAMBER|Council:)	Council :	1931	14	board_member																					
D. BARNETT, Esq.				1931	14	board_member										True	Esq.	Esq.	True	D. BARNETT	D. BARNETT	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	D. BARNETT	D. BARNETT	list	longest_match
Geneva.				1931	14	board_member				True	Geneva.	Geneva.															
L. H. BONNAIRE, Esq.				1931	14	board_member										True	Esq.	Esq.	True	L. H. BONNAIRE	L. H. BONNAIRE	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	L. H. BONNAIRE	L. H. BONNAIRE	list	longest_match
Bienne				1931	14	board_member																					
