Engines (steam, marine and stationary);381,408,722,95
Sulzer Frères S. A., Winterthur.;412,479,529,73
Envelopes (Manufacturers);376,534,479,81
H. Goessler & Co., A.-G., 22, Glärnischstrasse, Zürich.;408,581,909,94
Exporters;374,653,186,71
Ackroyd Brothers (English and colonial wool, tops, noils and;416,682,1045,78
wastes in all qualities and descriptions) Imperial Buildings,;449,755,1008,70
Bradford.;449,785,158,62
Thomas Adams, Ltd., Nottingham, London and Manchester.;415,806,974,75
Aktiengesellschaft vorm. B. Siegfried (drugs and chemicals),;416,872,1039,74
Zofingen.;449,912,158,59
Chas. Clay & Sons, Ltd. (export of Manchester piece goods),;412,931,1045,79
53, Cheapside, Luton, Beds.;444,999,464,56
Donzelot & Co., (all kinds of tools, also for watchmaking and;411,1013,1046,82
precision work), 6, Rue du Marché, Porrentruy.;450,1077,765,49
F. Fankhauser & Co., A. G. (silk yarns, pure and artificial, al;411,1095,1048,79
kinds), 5, Pelikanweg, Basle.;445,1150,471,53
A. Field & Co. (all kinds of goods), 12, Tiefenhöfe, Zürich.;408,1171,965,71
M. E. Hausheer (exporter and buying agent for overseas firms;408,1237,1034,61
14, Freigutstrasse, Zurich.;445,1279,421,40
J. Hopf & Co. (spun silk, silk noils, artificial silk, artificial spun;419,1298,1030,70
silk and wastes of every description), 12, Aeschengraben, Basle.;441,1357,1009,50
Ed. A. Keller & Co., S. A. (textiles and sundries), 33, Bahnhof¬;408,1394,1053,64
strasse, Zurich.;437,1438,255,47
Langley London (general), 161, Borough High Street, London S. E.;408,1462,1047,64
W. Marti (general), 2, Place des Orphelins, Berne.;415,1521,818,52
Philippi & Hermann (ribbons, silk and cotton textiles), Basle.;407,1552,997,84
Planta & Co., P. O. B. 450, Alexandria (Egypt.).;404,1610,791,55
Plantin & Co. (electrie apparatus, wholesale), 22, Ruelle St. François,;403,1658,1047,70
Lausanne.;441,1697,164,51
James Ramsden, Ltd. (textile goods of all descriptions), St. Paul's;412,1714,1046,87
Street, Leeds.;442,1775,235,51
Reinhart & Co. (Egyptian cotton), 7, rue Adib, Alexandria (Egypt.).;411,1796,1039,76
Ernst Stocker & Co. (Foodstuffs and agricultural products),;412,1858,1034,62
57, Bahnhofstrasse, Zurich.;445,1896,433,50
Volkart Brothers (all kinds of Swiss manufactured goods exported;411,1929,1042,73
to India), Winterthur.;442,1978,355,60
E. Young (general export merchant and goods for Eastern;453,2006,993,62
markets), c/o The British Chamber of Commerce for Switzer¬;445,2069,1004,46
land, Lausanne.;441,2095,260,59
E. Zollinger & Co. (textiles and sundries to British Indies),;399,2114,1046,104
34, Dreikönigstrasse, Zurich.;441,2183,463,67
