transcription	year	page	range_definition	company_found	company	location_found	location
Trade and Name Address	1921	46	index				
SILK (ARTIFICIAL) MERCHANTS	1921	46	index				
F. Fankhauser & Co. Yarns	1921	46	index	True	F. Fankhauser & Co.		
Malzgasse 18 Basel	1921	46	index			True	Basel
Geering & Co. Yarns	1921	46	index	True	Geering & Co.		
Basel	1921	46	index			True	Basel
J. Hopf & Co. Yarns	1921	46	index	True	J. Hopf & Co.		
Centralbahnstrasse 9 Basel	1921	46	index			True	Basel
J. Marx & Co., Ltd. Yarns	1921	46	index	True	J. Marx & Co., Ltd.		
Leimenstrasse 57 Basel	1921	46	index			True	Basel
SILVER GOODS	1921	46	index				
Mappin & Webb Ltd.	1921	46	index	True	Mappin & Webb Ltd.		
Galerie St. François Lausanne	1921	46	index			True	Lausanne
SLATES SHIPPERS OF	1921	46	index				
A. Lacey & Co., Ltd.	1921	46	index	True	A. Lacey & Co., Ltd.		
Hull	1921	46	index			True	Hull
SLEEPING CAR AGENTS	1921	46	index				
Cunard Steamship & Co., Ltd.	1921	46	index	True	Cunard Steamship & Co., Ltd.		
Haldenstrasse 5 Luzern	1921	46	index				
Dominion Express Co., Ltd., of Canada	1921	46	index	True	Dominion Express Co., Ltd.		
62, Charing Cross London S. W.	1921	46	index			True	London
Perrin & Cie.	1921	46	index				
Galerie St. François 15 Lausanne	1921	46	index			True	Lausanne
SOLICITORS	1921	46	index				
Herren & Guerchet	1921	46	index				
Rue Jean-Petitot 10 Genève	1921	46	index				
L. Kohler	1921	46	index				
St. Pierre 11 Lausanne	1921	46	index			True	Lausanne
SPIRITS, WHITE, MANUFACTURERS OF	1921	46	index				
Blundell, Spence & Co., Ltd.	1921	46	index	True	Blundell, Spence & Co., Ltd.		
Hull	1921	46	index			True	Hull
STATIONERY MANUFACTURERS	1921	46	index				
Gasser & Co.	1921	46	index	True	Gasser & Co.		
Untere Rheingasse 19 Basel	1921	46	index			True	Basel
J. G. Liechti & Co.	1921	46	index	True	J. G. Liechti & Co.		
Elsässerstrasse 184 Basel	1921	46	index			True	Basel
Théodore Roussy	1921	46	index				
Rue de Bourg 3 Lausanne	1921	46	index			True	Lausanne
