transcription	year	page	range_definition	company_found	company	location_found	location
Address Trade and Name	1921	39	index				
OIL DEALERS	1921	39	index				
Blundell, Spence & Co., Ltd Linseed oil	1921	39	index	True	Blundell, Spence & Co.		
Hull	1921	39	index			True	Hull
Georges Michoud Lubricating oils	1921	39	index				
Place Grand St. Jean 1 Lausanne	1921	39	index			True	Lausanne
Hans Müller Fuel ils	1921	39	index				
St. Gallen	1921	39	index				
OMNIBUS (MOTOR) MANUFACTURERS	1921	39	index				
„Berna“ Lorries Ltd.	1921	39	index	True	„Berna“ Lorries Ltd.		
Olten	1921	39	index			True	Olten
OUTEITTERS	1921	39	index				
Ernest Adler	1921	39	index				
Rue de la Croix 14 Genève	1921	39	index				
Bigard Frères	1921	39	index	True	Bigard Frères		
Rue du Pont 21 Lausanne	1921	39	index			True	Lausanne
Bonnard & Co.	1921	39	index	True	Bonnard & Co.		
Place St. Françoise 14 Lausanne	1921	39	index			True	Lausanne
Coate & Co.	1921	39	index	True	Coate & Co.		
„Old England“ Genève	1921	39	index				
C. P. Coate	1921	39	index				
„Old England Lausanne	1921	39	index			True	Lausanne
H. de Groot	1921	39	index				
Maison Albion Rue de Bourg 22 Lausanne	1921	39	index			True	Lausanne
R. J. Kirkby	1921	39	index				
„London House Lausanne	1921	39	index			True	Lausanne
F. V. Rolls	1921	39	index				
Rue de la Confédération 10 Genève	1921	39	index				
PAINT MANUFACTURERS	1921	39	index				
Blundell, Spence & Co., Ltd.	1921	39	index	True	Blundell, Spence & Co., Ltd.		
Hull	1921	39	index			True	Hull
Standard Lack- & Farbenwerke	1921	39	index				
Altstetten bei Zürich	1921	39	index			True	Zürich
PAPER MANUFACTURERS	1921	39	index				
J. Barcham Green & Son Hand made and high-class papers and drawing papers	1921	39	index				
Hayle Mill Maidstone, Kent	1921	39	index				
J. G. Liechti & Co. High-class stationery	1921	39	index	True	J. G. Liechti & Co.		
Elsasserstrasse 184 Basel	1921	39	index			True	Basel
