transcription	page_numbers_found	page_numbers	year	page	range_definition	company_found	company
Nardin, Ulysse 1451	True	1451	1921	63	alphabetical		
Natural, Le Coultre & Cie., S. A. 42 47	True	42 47	1921	63	alphabetical	True	Natural, Le Coultre & Cie., S. A.
Nestlé & Anglo-Swiss Condensed Milk Co., Ltd. 14 16 25 35	True	14 16 25 35	1921	63	alphabetical	True	Nestlé & Anglo-Swiss Condensed Milk Co.
Neuburger & Co. 2232	True	2232	1921	63	alphabetical	True	Neuburger & Co.
North British Rubber Co, Ltd., The 41 48	True	41 48	1921	63	alphabetical	True	North British Rubber Co, Ltd.
Obrist & Co. 23 27	True	23 27	1921	63	alphabetical	True	Obrist & Co.
Paillard, E. & Cie., S. A. 26 35 36	True	26 35 36	1921	63	alphabetical	True	Paillard, E. & Cie., S. A.
Paillard & Benoit. 34	True	34	1921	63	alphabetical		
Palace Hotel, Montana			1921	63	alphabetical		
Pearse, A. C. & Co., Ltd. 12 19 26 32 36 49	True	12 19 26 32 36 49	1921	63	alphabetical	True	Pearse, A. C. & Co., Ltd.
Perrin & Cie. 3 19 26 30 40 42 44 47 48 50	True	3 19 26 30 40 42 44 47 48 50	1921	63	alphabetical		
Peter, Cailler, Kohler 1416	True	1416	1921	63	alphabetical		
Philippi & Hermann			1921	63	alphabetical		
Planta, J. & Co. 18 24	True	18 24	1921	63	alphabetical	True	Planta, J. & Co.
Porteous, James & Co., Ltd. 4648	True	4648	1921	63	alphabetical	True	Porteous, James & Co., Ltd.
Preisig, Walter & Cie. 23	True	23	1921	63	alphabetical		
Quasi-Arc Co., Ltd., The 51	True	51	1921	63	alphabetical	True	Quasi-Arc Co., Ltd.
Record Dreadnought Watch Co., S. A.			1921	63	alphabetical	True	Record Dreadnought Watch Co.
Reichenbach & Cie. 18 23 27 32	True	18 23 27 32	1921	63	alphabetical		
Reinhart & Co. 1831	True	1831	1921	63	alphabetical	True	Reinhart & Co.
Rinderknecht, J. 1145	True	1145	1921	63	alphabetical		
Rolling & Drawing Mills Ltd. 10	True	10	1921	63	alphabetical	True	Rolling & Drawing Mills Ltd.
Rolls, Frank V. 15 37 51	True	15 37 51	1921	63	alphabetical		
Rolo & Co. 18 24	True	18 24	1921	63	alphabetical	True	Rolo & Co.
„Roneo" A. G.			1921	63	alphabetical	True	„Roneo" A. G
Roussy, Théodore 33 3944	True	33 3944	1921	63	alphabetical		
Rüegger & Co.			1921	63	alphabetical	True	Rüegger & Co.
Ryff & Co., Ltd. 49	True	49	1921	63	alphabetical	True	Ryff & Co., Ltd.
Sandoz Chemical Co., Ltd., The			1921	63	alphabetical	True	Sandoz Chemical Co., Ltd.
Sandreuter & Co. 13 24 30 34 43	True	13 24 30 34 43	1921	63	alphabetical	True	Sandreuter & Co.
Sarasin, Rodolphe & Co., Ltd.			1921	63	alphabetical	True	Sarasin, Rodolphe & Co., Ltd.
Sarasin Sons Ltd. 41	True	41	1921	63	alphabetical	True	Sarasin Sons Ltd.
Sarasin, W. & Co.			1921	63	alphabetical	True	Sarasin, W. & Co.
