transcription	headline_found	headline	year	page	range_definition	title_found	title	company_found	company	location_found	location
Trade and Name	True	Trade and Name	1921	16	index						
Address	True	Address	1921	16	index						
CASTINGS			1921	16	index	True	CASTINGS				
Société Anonyme des Aciéries ci-devant Georges Fischer Electric steel and malleable iron			1921	16	index						
Schaffhausen			1921	16	index						
CATERERS			1921	16	index	True	CATERERS				
Huguenin, Gattiker & Co.			1921	16	index			True	Huguenin, Gattiker & Co.		
Bahnhofstrasse 39 Zürich			1921	16	index					True	Zürich
CHEMICAL MANUFACTURERS			1921	16	index	True	CHEMICAL MANUFACTURERS				
Chemische Fabrik Madoery			1921	16	index						
Leonhardsstrasse 24 Basel			1921	16	index					True	Basel
Chemische Fabrik vorm. Sandoz			1921	16	index						
Basel			1921	16	index					True	Basel
Clayton Aniline Co. Ltd.			1921	16	index			True	Clayton Aniline Co. Ltd.		
Ashton New Road Clayton, Manchester			1921	16	index					True	Manchester
Durand & Huguenin A. G.			1921	16	index			True	Durand & Huguenin A. G		
Base			1921	16	index						
Hoffmann La Roche & Cie.			1921	16	index						
Basel			1921	16	index					True	Basel
Th. Mühlethaler			1921	16	index						
Nyon			1921	16	index						
A. G. vorm. B. Siegfried Zofingen			1921	16	index					True	Zofingen
Society of Chemical Industry in Basle			1921	16	index					True	Basle
Basel			1921	16	index					True	Basel
Usines de l'Allondon			1921	16	index						
Genève			1921	16	index						
CHOCOLATE MANUFACTURERS			1921	16	index	True	CHOCOLATE MANUFACTURERS				
Nestlé & Anglo-Swiss Condensed Milk Co., Ltd.			1921	16	index			True	Nestlé & Anglo-Swiss Condensed Milk Co.		
Vevey			1921	16	index					True	Vevey
Peter, Cailler, Kohler			1921	16	index						
La Tour de Peilz Vevey			1921	16	index					True	Vevey
Suchard S. A.			1921	16	index						
Neuchâtel			1921	16	index						
de Villars S. A			1921	16	index						
Fribourg			1921	16	index						
CHRONOMETERS			1921	16	index	True	CHRONOMETERS				
Ulysse Nardin Marine and Pocket			1921	16	index						
Le Locle			1921	16	index					True	Le Locle
CIGAR MANUFACTURERS			1921	16	index	True	CIGAR MANUFACTURERS				
Fivaz & Cie.			1921	16	index						
Payerne			1921	16	index						
CIGARETTE MANUFACTURERS			1921	16	index	True	CIGARETTE MANUFACTURERS				
British-American Tobacco Co., Ltd.			1921	16	index			True	British-American Tobacco Co., Ltd.		
Route des Acacias 18 Genève			1921	16	index						
