transcription	year	page	range_definition	location_found	location	company_found	company
Trade and Name Address	1921	28	index				
Perrin & Cie.	1921	28	index				
Place de la Gare Lausanne	1921	28	index	True	Lausanne		
Schw. Schleppschiffahrtgenossenschaft	1921	28	index				
Blumenrain 16 Basel	1921	28	index	True	Basel		
World Transport Agency Ltd.	1921	28	index			True	World Transport Agency Ltd.
Hochstrasse 31 Basel	1921	28	index	True	Basel		
FOUNDRIES	1921	28	index				
Gesellschaft der L. von Roll'schen Eisenwerke	1921	28	index				
Gerlafingen	1921	28	index				
FUEL SHIPPERS	1921	28	index				
A. H. Callias	1921	28	index				
Montreux	1921	28	index	True	Montreux		
Coal Supply Co., Ltd. Patent and Oil Fuels	1921	28	index			True	Coal Supply Co., Ltd.
Wallstrasse 13 Basel	1921	28	index	True	Basel		
Georges Michoud Oil fuels	1921	28	index				
Place Grand St. Jean 1 Lausanne	1921	28	index	True	Lausanne		
Hans Müller Oil fuels	1921	28	index				
St. Gallen	1921	28	index				
FURNACES (ELECTRIC)	1921	28	index				
Usines Electro-Métallurgiques Météor S. A.	1921	28	index				
Case Fusterie 14,417 Genève	1921	28	index				
GASES (TECHNICAL) MANU¬ FACTURERS OF	1921	28	index				
Sauerstoff & Wasserstoff-Werk A. G. Luzern	1921	28	index			True	Sauerstoff & Wasserstoff-Werk A. G
	1921	28	index				
GELATINE MANUFACTURERS	1921	28	index				
Gelatinefabrik Food, industrial and photographic	1921	28	index				
Winterthur	1921	28	index	True	Winterthur		
GRAMOPHONE MANUFACTURERS	1921	28	index				
E. Paillard & Cie., S. A.	1921	28	index			True	E. Paillard & Cie., S. A.
Ste-Croix	1921	28	index				
Hermann Thorens	1921	28	index				
Ste-Croix	1921	28	index				
GRAVING TOOLS	1921	28	index				
Usines Métallurgiques de Vallorbe	1921	28	index				
Vallorbe	1921	28	index				
GOLOSMITES	1921	28	index				
Golay Sons & Stahl Ltd.	1921	28	index			True	Golay Sons & Stahl Ltd.
Genève	1921	28	index				
Junod Frères	1921	28	index			True	Junod Frères
Lausanne	1921	28	index	True	Lausanne		
