transcription	year	page	range_definition	company_found	company	location_found	location
Address Trade and Name	1921	37	index				
MEAT IMPORTERS AND DEALERS	1921	37	index				
Conservenfabrik Seethal Tinned meat	1921	37	index				
Seon	1921	37	index				
The Weddel Beef Co. Frozen and tinned	1921	37	index	True	The Weddel Beef Co.		
Rue du Port 11 Genève	1921	37	index				
MERCERISERS	1921	37	index				
Alther & Guex	1921	37	index				
Flawil	1921	37	index			True	Flawil
Greenhalgh & Shaw	1921	37	index				
Halleweil Mill Bolton	1921	37	index			True	Bolton
METAL MERCHANTS	1921	37	index				
Carl Geissler S. A.	1921	37	index				
Spalenvorstadt 22 Basel	1921	37	index			True	Basel
Joos & Cie.	1921	37	index				
Spalenvorstadt 20 24 Basel	1921	37	index			True	Basel
Meister Brothers & Co.	1921	37	index	True	Meister Brothers & Co.		
P. O. Box 17062 Basel	1921	37	index			True	Basel
Fr. Schenkel-Wyss	1921	37	index				
Huttenstrasse 60 Zürich	1921	37	index			True	Zürich
Vickers Agency Co., for Switzerland Ltd.	1921	37	index	True	Vickers Agency Co.		
Place Neuve 2 Genève	1921	37	index				
METRONOME MAKERS	1921	37	index				
E. Paillard & Cie., S. A.	1921	37	index	True	E. Paillard & Cie., S. A.		
Ste-Croix	1921	37	index				
MICA, IMPORTERS OF	1921	37	index				
Goodbehere Brothers	1921	37	index	True	Goodbehere Brothers		
Birsigstrasse 82 Basel	1921	37	index			True	Basel
MILK, CONDENSED AND DRESERVED AND MILE PREPARATIONS	1921	37	index				
Milca Alpina	1921	37	index				
La Ferrière	1921	37	index				
Nestlé & Anglo-Swiss Condensed Milk Co., Ltd.	1921	37	index	True	Nestlé & Anglo-Swiss Condensed Milk Co.		
Vevey	1921	37	index			True	Vevey
MOTOR CARAGENTS	1921	37	index				
Jan & Cie.	1921	37	index				
Terreaux 10 Lausanne	1921	37	index			True	Lausanne
MOTOR CYCLE AND MOTOR CYCLE ENGINE MANUFACTURERS	1921	37	index				
Motosacoche S. A.	1921	37	index				
Genève	1921	37	index				
